,187.932,234.400,93.000,-Inf
0,187.932,234.4,93.045,-inf
1,187.932,234.4,93.061,-inf
2,187.932,234.4,93.077,-inf
3,187.932,234.4,93.097,-inf
4,187.932,234.4,93.112,-inf
5,187.932,234.4,93.127,-inf
6,187.932,234.4,93.145,-inf
7,187.932,234.4,93.162,-inf
8,187.932,234.4,93.177,-inf
9,187.932,234.4,93.192,-inf
10,187.932,234.4,93.213,-inf
11,187.932,234.4,93.229,-inf
12,187.932,234.4,93.245,-inf
13,187.932,234.4,93.261,-inf
14,187.932,234.4,93.282,-inf
15,187.932,234.4,93.297,-inf
16,187.932,234.4,93.312,-inf
17,187.932,234.4,93.33,-inf
18,187.932,234.4,93.348,-inf
19,187.932,234.4,93.363,-inf
20,187.932,234.4,93.378,-inf
21,187.932,234.4,93.399,-inf
22,187.932,234.4,93.415,-inf
23,187.932,234.4,93.43,-inf
24,187.932,234.4,93.448,-inf
25,187.932,234.4,93.468,-inf
26,187.932,234.4,93.482,-inf
27,187.932,234.4,93.497,-inf
28,187.932,234.4,93.516,-inf
29,187.932,234.4,93.533,-inf
30,187.932,234.4,93.548,-inf
31,187.932,234.4,93.565,-inf
32,187.932,234.4,93.585,-inf
33,187.932,234.4,93.601,-inf
34,187.932,234.4,93.616,-inf
35,187.932,234.4,93.636,-inf
36,187.932,234.4,93.652,-inf
37,187.932,234.4,93.666,-inf
38,187.932,234.4,93.683,-inf
39,187.932,234.4,93.703,-inf
40,187.932,234.4,93.719,-inf
41,187.932,234.4,93.734,-inf
42,187.932,234.4,93.752,-inf
43,187.932,234.4,93.772,-inf
44,187.932,234.4,93.787,-inf
45,187.932,234.4,93.802,-inf
46,187.932,234.4,93.821,-inf
47,187.932,234.4,93.838,-inf
48,187.932,234.4,93.853,-inf
49,187.932,234.4,93.869,-inf
50,187.932,234.4,93.889,-inf
51,187.932,234.4,93.904,-inf
52,187.932,234.4,93.92,-inf
53,187.932,234.4,93.939,-inf
54,187.932,234.4,93.958,-inf
55,187.932,234.4,93.973,-inf
56,187.932,234.4,93.988,-inf
57,187.932,234.4,94.007,-inf
58,187.932,234.4,94.024,-inf
59,187.932,234.4,94.039,-inf
60,187.932,234.4,94.056,-inf
61,187.932,234.4,94.076,-inf
62,187.932,234.4,94.091,-inf
63,187.932,234.4,94.106,-inf
64,187.932,234.4,94.126,-inf
65,187.932,234.4,94.142,-inf
66,187.932,234.4,94.157,-inf
67,187.932,234.4,94.174,-inf
68,187.932,234.4,94.193,-inf
69,187.932,234.4,94.209,-inf
70,187.932,234.4,94.224,-inf
71,187.932,234.4,94.243,-inf
72,187.932,234.4,94.262,-inf
73,187.932,234.4,94.276,-inf
74,187.932,234.4,94.292,-inf
75,187.932,234.4,94.313,-inf
76,187.932,234.4,94.328,-inf
77,187.932,234.4,94.342,-inf
78,187.932,234.4,94.36,-inf
79,187.932,234.4,94.379,-inf
80,187.932,234.4,94.395,-inf
81,187.932,234.4,94.41,-inf
82,187.932,234.4,94.43,-inf
83,187.932,234.4,94.445,-inf
84,187.932,234.4,94.46,-inf
85,187.932,234.4,94.478,-inf
86,187.932,234.4,94.497,-inf
87,187.932,234.4,94.512,-inf
88,187.932,234.4,94.527,-inf
89,187.932,234.4,94.547,-inf
90,187.932,234.4,94.563,-inf
91,187.932,234.4,94.578,-inf
92,187.932,234.4,94.595,-inf
93,187.932,234.4,94.616,-inf
94,187.932,234.4,94.631,-inf
95,187.932,234.4,94.645,-inf
96,187.932,234.4,94.665,-inf
97,187.932,234.4,94.682,-inf
98,187.932,234.4,94.697,-inf
99,187.932,234.4,94.713,-inf
100,187.932,234.4,94.733,-inf
101,187.932,234.4,94.749,-inf
102,187.932,234.4,94.764,0.441
103,187.932,234.4,94.782,0.422
104,187.932,234.4,94.8,0.407
105,187.932,234.4,94.815,0.391
106,187.932,234.4,94.83,0.368
107,187.932,234.4,94.85,0.349
108,187.932,234.4,94.865,0.329
109,187.932,234.4,94.88,0.303
110,187.932,234.4,94.898,0.283
111,187.932,234.4,94.917,0.277
112,187.932,234.4,94.933,0.28
113,187.932,234.4,94.948,0.287
114,187.932,234.4,94.968,0.295
115,187.932,234.4,94.983,0.302
116,187.932,234.4,94.998,0.313
117,187.932,234.4,95.016,0.312
118,187.932,234.4,95.034,0.307
119,187.932,234.4,95.048,0.305
120,187.932,234.4,95.063,0.31
121,187.932,234.4,95.084,0.313
122,187.932,234.4,95.1,0.311
123,187.932,234.4,95.115,0.31
124,187.932,234.4,95.133,0.31
125,187.932,234.4,95.152,0.303
126,187.932,234.4,95.167,0.302
127,187.932,234.4,95.182,0.74
128,187.932,234.4,95.202,1.108
129,187.932,234.4,95.217,1.238
130,187.932,234.4,95.231,1.21
131,187.932,234.4,95.25,1.235
132,187.932,234.4,95.268,1.318
133,187.932,234.4,95.283,1.336
134,187.932,234.4,95.299,1.251
135,187.932,234.4,95.319,1.193
136,187.932,234.4,95.334,1.181
137,187.932,234.4,95.349,1.181
138,187.932,234.4,95.367,1.176
139,187.932,234.4,95.384,1.165
140,187.932,234.4,95.399,1.153
141,187.932,234.4,95.415,1.139
142,187.932,234.4,95.435,1.127
143,187.932,234.4,95.451,1.108
