,187.932,211.400,93.000,-Inf
0,187.932,211.4,93.044,-inf
1,187.932,211.4,93.06,-inf
2,187.932,211.4,93.081,-inf
3,187.932,211.4,93.096,-inf
4,187.932,211.4,93.11,-inf
5,187.932,211.4,93.128,-inf
6,187.932,211.4,93.146,-inf
7,187.932,211.4,93.161,-inf
8,187.932,211.4,93.175,-inf
9,187.932,211.4,93.196,-inf
10,187.932,211.4,93.212,-inf
11,187.932,211.4,93.228,-inf
12,187.932,211.4,93.243,-inf
13,187.932,211.4,93.263,-inf
14,187.932,211.4,93.278,-inf
15,187.932,211.4,93.293,-inf
16,187.932,211.4,93.311,-inf
17,187.932,211.4,93.329,-inf
18,187.932,211.4,93.345,-inf
19,187.932,211.4,93.359,-inf
20,187.932,211.4,93.38,-inf
21,187.932,211.4,93.395,-inf
22,187.932,211.4,93.41,-inf
23,187.932,211.4,93.427,-inf
24,187.932,211.4,93.446,-inf
25,187.932,211.4,93.461,-inf
26,187.932,211.4,93.477,-inf
27,187.932,211.4,93.498,-inf
28,187.932,211.4,93.513,-inf
29,187.932,211.4,93.527,-inf
30,187.932,211.4,93.546,-inf
31,187.932,211.4,93.563,-inf
32,187.932,211.4,93.578,-inf
33,187.932,211.4,93.594,-inf
34,187.932,211.4,93.614,-inf
35,187.932,211.4,93.631,-inf
36,187.932,211.4,93.647,-inf
37,187.932,211.4,93.662,-inf
38,187.932,211.4,93.682,-inf
39,187.932,211.4,93.697,-inf
40,187.932,211.4,93.712,-inf
41,187.932,211.4,93.731,-inf
42,187.932,211.4,93.747,-inf
43,187.932,211.4,93.762,-inf
44,187.932,211.4,93.78,-inf
45,187.932,211.4,93.799,-inf
46,187.932,211.4,93.815,-inf
47,187.932,211.4,93.83,-inf
48,187.932,211.4,93.85,-inf
49,187.932,211.4,93.866,-inf
50,187.932,211.4,93.881,-inf
51,187.932,211.4,93.897,-inf
52,187.932,211.4,93.916,-inf
53,187.932,211.4,93.932,-inf
54,187.932,211.4,93.947,-inf
55,187.932,211.4,93.966,-inf
56,187.932,211.4,93.985,-inf
57,187.932,211.4,94.0,-inf
58,187.932,211.4,94.015,-inf
59,187.932,211.4,94.035,-inf
60,187.932,211.4,94.05,-inf
61,187.932,211.4,94.065,-inf
62,187.932,211.4,94.083,-inf
63,187.932,211.4,94.1,-inf
64,187.932,211.4,94.115,-inf
65,187.932,211.4,94.131,-inf
66,187.932,211.4,94.15,-inf
67,187.932,211.4,94.166,-inf
68,187.932,211.4,94.182,-inf
69,187.932,211.4,94.2,-inf
70,187.932,211.4,94.218,-inf
71,187.932,211.4,94.233,-inf
72,187.932,211.4,94.248,-inf
73,187.932,211.4,94.268,-inf
74,187.932,211.4,94.282,-inf
75,187.932,211.4,94.297,-inf
76,187.932,211.4,94.317,-inf
77,187.932,211.4,94.334,-inf
78,187.932,211.4,94.35,-inf
79,187.932,211.4,94.366,-inf
80,187.932,211.4,94.386,-inf
81,187.932,211.4,94.402,-inf
82,187.932,211.4,94.416,-inf
83,187.932,211.4,94.434,-inf
84,187.932,211.4,94.452,-inf
85,187.932,211.4,94.467,-inf
86,187.932,211.4,94.481,-inf
87,187.932,211.4,94.503,-inf
88,187.932,211.4,94.521,-inf
89,187.932,211.4,94.537,-inf
90,187.932,211.4,94.552,-inf
91,187.932,211.4,94.572,-inf
92,187.932,211.4,94.587,-inf
93,187.932,211.4,94.602,-inf
94,187.932,211.4,94.619,-inf
95,187.932,211.4,94.637,-inf
96,187.932,211.4,94.653,-inf
97,187.932,211.4,94.668,-inf
98,187.932,211.4,94.689,-inf
99,187.932,211.4,94.704,-inf
100,187.932,211.4,94.72,-inf
101,187.932,211.4,94.737,-inf
102,187.932,211.4,94.755,-inf
103,187.932,211.4,94.77,-inf
104,187.932,211.4,94.785,-inf
105,187.932,211.4,94.805,0.431
106,187.932,211.4,94.821,0.434
107,187.932,211.4,94.836,0.415
108,187.932,211.4,94.853,0.351
109,187.932,211.4,94.874,0.319
110,187.932,211.4,94.889,0.301
111,187.932,211.4,94.904,0.302
112,187.932,211.4,94.923,0.307
113,187.932,211.4,94.939,0.304
114,187.932,211.4,94.953,0.302
115,187.932,211.4,94.971,0.31
116,187.932,211.4,94.988,0.314
117,187.932,211.4,95.003,0.316
118,187.932,211.4,95.019,0.32
119,187.932,211.4,95.038,0.319
120,187.932,211.4,95.054,0.316
121,187.932,211.4,95.07,0.323
122,187.932,211.4,95.088,0.326
123,187.932,211.4,95.105,0.324
124,187.932,211.4,95.12,0.319
125,187.932,211.4,95.136,0.308
126,187.932,211.4,95.155,0.317
127,187.932,211.4,95.17,0.303
128,187.932,211.4,95.185,0.254
129,187.932,211.4,95.205,0.232
130,187.932,211.4,95.222,0.222
131,187.932,211.4,95.238,0.567
132,187.932,211.4,95.254,1.127
133,187.932,211.4,95.275,1.159
134,187.932,211.4,95.29,1.153
135,187.932,211.4,95.305,1.169
136,187.932,211.4,95.322,1.196
137,187.932,211.4,95.34,1.187
138,187.932,211.4,95.355,1.184
139,187.932,211.4,95.37,1.171
140,187.932,211.4,95.39,1.074
141,187.932,211.4,95.406,1.052
142,187.932,211.4,95.422,1.103
143,187.932,211.4,95.439,1.088
144,187.932,211.4,95.459,1.073
145,187.932,211.4,95.473,1.067
146,187.932,211.4,95.488,1.051
147,187.932,211.4,95.508,1.028
148,187.932,211.4,95.523,1.001
149,187.932,211.4,95.538,0.965
150,187.932,211.4,95.556,0.94
151,187.932,211.4,95.575,0.932
152,187.932,211.4,95.591,0.924
153,187.932,211.4,95.606,0.927
154,187.932,211.4,95.626,0.956
155,187.932,211.4,95.641,1.021
156,187.932,211.4,95.656,1.053
157,187.932,211.4,95.673,1.062
158,187.932,211.4,95.692,1.082
159,187.932,211.4,95.706,1.08
160,187.932,211.4,95.721,1.068
161,187.932,211.4,95.742,1.056
162,187.932,211.4,95.76,1.04
163,187.932,211.4,95.775,1.029
164,187.932,211.4,95.791,0.801
165,187.932,211.4,95.811,0.187
166,187.932,211.4,95.826,-0.404
167,187.932,211.4,95.84,-0.197
168,187.932,211.4,95.859,0.296
169,187.932,211.4,95.876,0.181
170,187.932,211.4,95.891,-0.43
171,187.932,211.4,95.906,-0.56
172,187.932,211.4,95.926,-0.558
173,187.932,211.4,95.942,-0.558
174,187.932,211.4,95.958,-0.559
